Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
100 Favorite Roses (100 Favorite Series),"By Dunn, Teri",," Gardening , Flowers , Annuals",Metro Books,5.29,May,2000
All Around The Town,"By Clark, Mary Higgins","A student obsessed with her English professor is accused of his murder, but can not remember how her fingerprints could possibly have been found at the scene of the crime. 500,000 first printing. Major ad/promo. Lit Guild Main. Tour."," Fiction , Thrillers , Suspense",Simon & Schuster,4.99,January,1992
New World Visions of Household Gods and Sacred Places: American Art and the Metropolitan Museum of Art 1650-1914,"By Scully, Vincent","Offers a survey of pre-World War I American art, including architecture, painting, sculpture, and the decorative arts and discusses the social aspects of art"," Art , General",NEW YORK GRAPHIC SOCIETY,13.12,January,1988
New Stories from the South 2001: The Year's Best,"By Ravenel, Shannon",," Fiction , Southern",Algonquin Books,5.29,September,2001
Orchids as House Plants,"By Northen, Rebecca Tyson","Orchids are one of the most fascinating plant families to grow. With their tremendous variety of sizes, colors, shapes, habits, and fragrances, orchids offer the opportunity of unparalleled pleasure and excitement to the plant enthusiast. This book shows you how to produce flowering orchids in your home with the modern methods that are already enabling thousands of people to cultivate orchids successfully in their living rooms, sun porches, basements, and elsewhere.It is easier to grow orchids now than it has ever been, and you don't need a greenhouse to do it. Thoroughly revised and brought completely up to date, this book explains the basic needs of orchids and shows you the three common methods of growing them in the house — in a window, in a case, and under artificial light. It goes on to describe cattleyas and many other fascinating kinds of orchids that do well as house plants, including what they each need in the way of temperature, light, humidity, and other requirements. Finally, the concluding chapters present information on potting mature plants, caring for seedling, and treating ailments and problems. 63 photos and line drawings illustrate flowers and growing techniques.If you are intrigued by the prospect of growing orchids as house plants or you already have one or two flowering on your windowsill, this book will enable you to pursue your interest confidently and knowledgeably. It covers a wide range of techniques and types of orchids, and can even be adapted to greenhouse work. With the right information at your fingertips, you can grow orchids at home with surprising ease."," Gardening , Flowers , Orchids",Dover Publications,4.99,June,1976
The History of the American Sailing Navy: The Ships and Their Development,"By Chapelle, Howard Irving",,,Bonanza Books,29.29,January,1949
"The Experience of Opera (Norton Library, N706)","By Lang, Paul Henry","Based on Dr. Lang’s experience as music critic of the New York Herald Tribune, this book preserves the immediate reactions of a working reviewer, his on-the-spot responses to the actual experience of theatrical productions, spanning the active repertory from Gluck to the present day. It is at once an introduction to the art of opera and a rich repository of perceptions about the changing nature and esthetics of the musical theater. All of the major composers are discussed: Gluck, Mozart, Beethoven, Rossini, Donizetti, Bellini, Verdi, Wagner, Puccini, Strauss, Berg, and Stravinsky. There are also chapters on opera buffa, verismo, French opera, Russian opera, American opera, operetta, opera in English, and opera in concert form."," Music , Genres & Styles , Opera",W. W. Norton & Company,5.29,November,1973
The pattern of Soviet power,"By Snow, Edgar",,,Random House,5.29,January,1945
"The World of Science Fiction, 1926-1976: The History of a Subculture","By Del Rey, Lester",,,Ballantine Books,4.99,January,1979
Passionate Paradox; the Life of Marie Stopes,"By briant, keith",,,w.w. norton,5.47,January,1962
The Law,"By Vailland, Roger",,,Knopf,12.99,January,1958
Horsewatching: Why does a horse whinny and everything else you ever wanted to know,"By Morris, Desmond","How intelligent are horses? Why do they toss their heads and what makes them paw the ground?After spending more than twenty years studying the body language of the human species, Desmond Morris has turned his attention to the behavior of some of our closest animal companions. First he looked at dogs, then cats, and now horses. As Curator of Mammals at the London Zoo he was able to study closely the zebras and wild horse in his charge. More recently, as a racehorse owner, he has scrutinized the glamorous world of thoroughbred racing.Throughout his long involvement with horses, Desmond Morris has never stopped asking questions. InHorsewatching he sets out to answer them. As a zoologist and a lifelong student of animal behavior, he approaches the horse world in an unusual way, dealing with topics often ignored in equine literature. In addition to examining details of behavior, Dr Morris considers such questions as why horseshoes bring good luck, why we don’t eat horses, why jockeys are allowed to whip their mounts and why we call a bad dream a nightmare.And for punters everywhere, he applies his zoological mind to the all-important question of why some horses run faster than others…"," Technology & Engineering , General",Crown,4.99,April,1989
Linda Mccartney's Home Cooking,"By McCartney, Linda","Presents a collection of meatless recipes aimed at meat lovers, including beefless stroganoff, moussaka without lamb, shepherd's pie, and other treats"," Cooking , Reference",Arcade Publishing,4.99,August,1992
Herblock's special for today,"By Block, Herbert",,,Simon and Schuster,11.48,January,1958
Beginners Cookbook (Home Library),By,," Cooking , General",Whitecap Books - AcP Publishing,6.16,June,1994
Ghost Light: A Memoir,"By Rich, Frank","There is a superstition that if an emptied theater is ever left completely dark, a ghost will take up residence. To prevent this, a single ""ghost light"" is left burning at center stage after the audience and all of the actors and musicians have gone home. Frank Rich's eloquent and moving boyhood memoir reveals how theater itself became a ghost light and a beacon of security for a child finding his way in a tumultuous world.Rich grew up in the small-townish Washington, D.C., of the 1950s and early '60s, a place where conformity seemed the key to happiness for a young boy who always felt different. When Rich was seven years old, his parents separated--at a time when divorce was still tantamount to scandal--and thereafter he and his younger sister were labeled ""children from a broken home."" Bouncing from school to school and increasingly lonely, Rich became terrified of the dark and the uncertainty of his future. But there was one thing in his life that made him sublimely happy: the Broadway theater.Rich's parents were avid theatergoers, and in happier times they would listen to the brand-new recordings of South Pacific, Damn Yankees, and The Pajama Game over and over in their living room. When his mother's remarriage brought about turbulent changes, Rich took refuge in these same records, re-creating the shows in his imagination, scene by scene. He started collecting Playbills, studied fanatically the theater listings in The New York Times and Variety, and cut out ads to create his own miniature marquees. He never imagined that one day he would be the Times's chief theater critic.Eventually Rich found a second home at Wash-ington's National Theatre, where as a teenager he was a ticket-taker and was introduced not only to the backstage magic he had dreamed of for so long but to a real-life cast of charismatic and eccentric players who would become his mentors and friends. With humor and eloquence, Rich tells the triumphant story of how the aspirations of a stagestruck young boy became a lifeline, propelling him toward the itinerant family of theater, whose romantic denizens welcomed him into the colorful fringes of Broadway during its last glamorous era.Every once in a while, a grand spectacle comes along that introduces its audiences to characters and scenes that will resound in their memories long after the curtain has gone down.Ghost Light, Frank Rich's beautifully crafted childhood memoir, is just such an event."," Biography & Autobiography , Entertainment & Performing Arts",Random House Trade Paperbacks,5.29,October,2001
